Registration,TestDate,Result,ExpiryDate,Advisories,TestCentre,RecordedAt,RecordedBy
AMB163,2023-01-15,Pass,2024-01-14,,Essex Commercial MOT Centre,2023-01-15T08:15:00,Demo Admin
AMB192,2023-01-15,Pass,2024-01-14,Slight play in steering linkage,Southend Vehicle Test Centre,2023-01-15T10:24:00,Demo Admin
AMB213,2023-01-15,Pass,2024-01-14,,Essex Commercial MOT Centre,2023-01-15T14:19:00,Demo Admin
AMB265,2023-01-15,Pass,2024-01-14,Slight play in steering linkage,Chelmsford Fleet Services,2023-01-15T10:17:00,Demo Admin
AMB104,2023-01-17,Pass,2024-01-16,Minor windscreen damage outside driver's view,Essex Commercial MOT Centre,2023-01-17T12:12:00,Demo Admin
AMB166,2023-01-17,Pass,2024-01-16,Registration plate deteriorated but not likely to be misread,Southend Vehicle Test Centre,2023-01-17T08:45:00,Demo Admin
AMB132,2023-01-20,Pass,2024-01-19,Offside rear tyre worn close to legal limit,Chelmsford Fleet Services,2023-01-20T13:12:00,Demo Admin
AMB176,2023-01-20,Pass,2024-01-19,,Canvey Commercial Testing,2023-01-20T17:17:00,Demo Admin
AMB261,2023-01-20,Pass,2024-01-19,,Chelmsford Fleet Services,2023-01-20T16:02:00,Demo Admin
AMB247,2023-01-24,Pass,2024-01-23,,Chelmsford Fleet Services,2023-01-24T10:52:00,Demo Admin
AMB239,2023-02-04,Pass,2024-02-03,,Essex Commercial MOT Centre,2023-02-04T15:44:00,Demo Admin
AMB293,2023-02-06,Pass,2024-02-05,Offside rear tyre worn close to legal limit,Essex Commercial MOT Centre,2023-02-06T16:46:00,Demo Admin
AMB125,2023-02-10,Pass,2024-02-09,Offside rear tyre worn close to legal limit,Canvey Commercial Testing,2023-02-10T14:08:00,Demo Admin
AMB186,2023-02-10,Pass,2024-02-09,Slight play in steering linkage,Southend Vehicle Test Centre,2023-02-10T09:49:00,Demo Admin
AMB207,2023-02-10,Pass,2024-02-09,Brake disc worn but not seriously weakened,Essex Commercial MOT Centre,2023-02-10T12:26:00,Demo Admin
AMB259,2023-02-11,Pass,2024-02-10,"Oil leak, but not excessive",Chelmsford Fleet Services,2023-02-11T13:18:00,Demo Admin
AMB203,2023-02-13,Pass,2024-02-12,,Essex Commercial MOT Centre,2023-02-13T12:30:00,Demo Admin
AMB114,2023-02-14,Pass,2024-02-13,"Oil leak, but not excessive",Chelmsford Fleet Services,2023-02-14T11:15:00,Demo Admin
AMB241,2023-02-14,Pass,2024-02-13,,Chelmsford Fleet Services,2023-02-14T11:21:00,Demo Admin
AMB250,2023-02-15,Pass,2024-02-14,Registration plate deteriorated but not likely to be misread,Southend Vehicle Test Centre,2023-02-15T15:18:00,Demo Admin
AMB165,2023-02-17,Pass,2024-02-16,"Oil leak, but not excessive",Canvey Commercial Testing,2023-02-17T13:57:00,Demo Admin
AMB142,2023-02-18,Pass,2024-02-17,"Oil leak, but not excessive",Southend Vehicle Test Centre,2023-02-18T15:15:00,Demo Admin
AMB167,2023-02-18,Pass,2024-02-17,,Chelmsford Fleet Services,2023-02-18T11:35:00,Demo Admin
AMB222,2023-02-21,Pass,2024-02-20,,Chelmsford Fleet Services,2023-02-21T14:41:00,Demo Admin
AMB151,2023-02-22,Pass,2024-02-21,Brake disc worn but not seriously weakened,Southend Vehicle Test Centre,2023-02-22T12:56:00,Demo Admin
AMB189,2023-02-22,Pass,2024-02-21,Brake disc worn but not seriously weakened,Chelmsford Fleet Services,2023-02-22T14:03:00,Demo Admin
AMB284,2023-02-22,Pass,2024-02-21,Offside rear tyre worn close to legal limit,Canvey Commercial Testing,2023-02-22T11:15:00,Demo Admin
AMB193,2023-03-06,Pass,2024-03-05,,Southend Vehicle Test Centre,2023-03-06T11:04:00,Demo Admin
AMB150,2023-03-07,Pass,2024-03-06,Offside rear tyre worn close to legal limit,Essex Commercial MOT Centre,2023-03-07T13:43:00,Demo Admin
AMB115,2023-03-12,Pass,2024-03-11,,Essex Commercial MOT Centre,2023-03-12T09:25:00,Demo Admin
AMB129,2023-03-13,Pass,2024-03-12,"Oil leak, but not excessive",Essex Commercial MOT Centre,2023-03-13T14:23:00,Demo Admin
AMB148,2023-03-14,Pass,2024-03-13,"Oil leak, but not excessive",Canvey Commercial Testing,2023-03-14T17:45:00,Demo Admin
AMB279,2023-03-14,Pass,2024-03-13,"Oil leak, but not excessive",Canvey Commercial Testing,2023-03-14T17:54:00,Demo Admin
AMB123,2023-03-15,Pass,2024-03-14,,Southend Vehicle Test Centre,2023-03-15T17:21:00,Demo Admin
AMB220,2023-03-15,Pass,2024-03-14,Nearside front tyre worn close to legal limit,Essex Commercial MOT Centre,2023-03-15T11:11:00,Demo Admin
AMB294,2023-03-15,Pass,2024-03-14,Minor windscreen damage outside driver's view,Canvey Commercial Testing,2023-03-15T10:53:00,Demo Admin
AMB289,2023-03-16,Pass,2024-03-15,Registration plate deteriorated but not likely to be misread,Chelmsford Fleet Services,2023-03-16T13:03:00,Demo Admin
AMB187,2023-03-17,Pass,2024-03-16,Brake disc worn but not seriously weakened,Chelmsford Fleet Services,2023-03-17T12:03:00,Demo Admin
AMB197,2023-03-17,Pass,2024-03-16,Nearside front tyre worn close to legal limit,Chelmsford Fleet Services,2023-03-17T15:27:00,Demo Admin
AMB230,2023-03-18,Pass,2024-03-17,,Chelmsford Fleet Services,2023-03-18T10:56:00,Demo Admin
AMB172,2023-03-20,Pass,2024-03-19,Nearside front tyre worn close to legal limit,Southend Vehicle Test Centre,2023-03-20T10:13:00,Demo Admin
AMB271,2023-03-21,Pass,2024-03-20,Minor windscreen damage outside driver's view,Essex Commercial MOT Centre,2023-03-21T15:03:00,Demo Admin
AMB283,2023-03-21,Pass,2024-03-20,Minor windscreen damage outside driver's view,Southend Vehicle Test Centre,2023-03-21T09:25:00,Demo Admin
AMB180,2023-03-23,Pass,2024-03-22,"Oil leak, but not excessive",Essex Commercial MOT Centre,2023-03-23T13:30:00,Demo Admin
AMB291,2023-04-03,Pass,2024-04-02,"Oil leak, but not excessive",Canvey Commercial Testing,2023-04-03T11:04:00,Demo Admin
AMB195,2023-04-07,Pass,2024-04-06,,Southend Vehicle Test Centre,2023-04-07T17:25:00,Demo Admin
AMB236,2023-04-11,Pass,2024-04-10,Slight play in steering linkage,Chelmsford Fleet Services,2023-04-11T08:13:00,Demo Admin
AMB173,2023-04-13,Pass,2024-04-12,Registration plate deteriorated but not likely to be misread,Southend Vehicle Test Centre,2023-04-13T17:10:00,Demo Admin
AMB273,2023-04-14,Pass,2024-04-13,Nearside front tyre worn close to legal limit,Essex Commercial MOT Centre,2023-04-14T13:54:00,Demo Admin
AMB205,2023-04-15,Pass,2024-04-14,"Oil leak, but not excessive",Essex Commercial MOT Centre,2023-04-15T15:11:00,Demo Admin
AMB211,2023-04-15,Pass,2024-04-14,Slight play in steering linkage,Chelmsford Fleet Services,2023-04-15T11:14:00,Demo Admin
AMB225,2023-04-17,Pass,2024-04-16,Offside rear tyre worn close to legal limit,Canvey Commercial Testing,2023-04-17T17:05:00,Demo Admin
AMB227,2023-04-18,Pass,2024-04-17,Brake disc worn but not seriously weakened,Chelmsford Fleet Services,2023-04-18T08:07:00,Demo Admin
AMB221,2023-04-19,Pass,2024-04-18,Registration plate deteriorated but not likely to be misread,Chelmsford Fleet Services,2023-04-19T12:53:00,Demo Admin
AMB243,2023-04-19,Pass,2024-04-18,Nearside front tyre worn close to legal limit,Essex Commercial MOT Centre,2023-04-19T16:55:00,Demo Admin
AMB272,2023-04-19,Pass,2024-04-18,Nearside front tyre worn close to legal limit,Southend Vehicle Test Centre,2023-04-19T10:18:00,Demo Admin
AMB109,2023-04-20,Pass,2024-04-19,Offside rear tyre worn close to legal limit,Chelmsford Fleet Services,2023-04-20T10:41:00,Demo Admin
AMB237,2023-04-20,Pass,2024-04-19,,Canvey Commercial Testing,2023-04-20T09:32:00,Demo Admin
AMB268,2023-04-21,Pass,2024-04-20,,Southend Vehicle Test Centre,2023-04-21T15:31:00,Demo Admin
AMB141,2023-04-22,Pass,2024-04-21,Offside rear tyre worn close to legal limit,Canvey Commercial Testing,2023-04-22T14:28:00,Demo Admin
AMB108,2023-05-03,Pass,2024-05-02,,Chelmsford Fleet Services,2023-05-03T11:45:00,Demo Admin
AMB228,2023-05-08,Pass,2024-05-07,,Essex Commercial MOT Centre,2023-05-08T14:22:00,Demo Admin
AMB251,2023-05-09,Pass,2024-05-08,,Southend Vehicle Test Centre,2023-05-09T15:14:00,Demo Admin
AMB290,2023-05-11,Pass,2024-05-10,,Essex Commercial MOT Centre,2023-05-11T12:08:00,Demo Admin
AMB297,2023-05-11,Pass,2024-05-10,Brake disc worn but not seriously weakened,Chelmsford Fleet Services,2023-05-11T14:37:00,Demo Admin
AMB170,2023-05-12,Pass,2024-05-11,Slight play in steering linkage,Essex Commercial MOT Centre,2023-05-12T16:20:00,Demo Admin
AMB139,2023-05-13,Pass,2024-05-12,,Essex Commercial MOT Centre,2023-05-13T17:10:00,Demo Admin
AMB219,2023-05-15,Pass,2024-05-14,,Canvey Commercial Testing,2023-05-15T17:17:00,Demo Admin
AMB140,2023-05-17,Fail,,Service brake performance below requirements,Canvey Commercial Testing,2023-05-17T08:12:00,Demo Admin
AMB269,2023-05-17,Pass,2024-05-16,Nearside front tyre worn close to legal limit,Canvey Commercial Testing,2023-05-17T16:48:00,Demo Admin
AMB276,2023-05-17,Pass,2024-05-16,Minor windscreen damage outside driver's view,Chelmsford Fleet Services,2023-05-17T15:18:00,Demo Admin
AMB124,2023-05-18,Pass,2024-05-17,Brake disc worn but not seriously weakened,Canvey Commercial Testing,2023-05-18T13:25:00,Demo Admin
AMB154,2023-05-20,Pass,2024-05-19,,Chelmsford Fleet Services,2023-05-20T17:29:00,Demo Admin
AMB191,2023-05-20,Pass,2024-05-19,,Essex Commercial MOT Centre,2023-05-20T09:40:00,Demo Admin
AMB229,2023-05-21,Pass,2024-05-20,Brake disc worn but not seriously weakened,Southend Vehicle Test Centre,2023-05-21T10:20:00,Demo Admin
AMB113,2023-05-26,Pass,2024-05-25,Minor windscreen damage outside driver's view,Southend Vehicle Test Centre,2023-05-26T13:12:00,Demo Admin
AMB118,2023-06-06,Pass,2024-06-05,,Southend Vehicle Test Centre,2023-06-06T17:56:00,Demo Admin
AMB158,2023-06-09,Pass,2024-06-08,Nearside front tyre worn close to legal limit,Chelmsford Fleet Services,2023-06-09T16:37:00,Demo Admin
AMB107,2023-06-11,Pass,2024-06-10,Slight play in steering linkage,Chelmsford Fleet Services,2023-06-11T11:46:00,Demo Admin
AMB274,2023-06-11,Pass,2024-06-10,Offside rear tyre worn close to legal limit,Chelmsford Fleet Services,2023-06-11T08:44:00,Demo Admin
AMB153,2023-06-12,Pass,2024-06-11,,Chelmsford Fleet Services,2023-06-12T15:00:00,Demo Admin
AMB231,2023-06-12,Pass,2024-06-11,"Oil leak, but not excessive",Southend Vehicle Test Centre,2023-06-12T15:24:00,Demo Admin
AMB162,2023-06-13,Pass,2024-06-12,Registration plate deteriorated but not likely to be misread,Canvey Commercial Testing,2023-06-13T14:58:00,Demo Admin
AMB245,2023-06-13,Pass,2024-06-12,"Oil leak, but not excessive",Canvey Commercial Testing,2023-06-13T15:42:00,Demo Admin
AMB103,2023-06-14,Pass,2024-06-13,Nearside front tyre worn close to legal limit,Southend Vehicle Test Centre,2023-06-14T12:10:00,Demo Admin
AMB288,2023-06-14,Pass,2024-06-13,Brake disc worn but not seriously weakened,Essex Commercial MOT Centre,2023-06-14T08:34:00,Demo Admin
AMB255,2023-06-15,Fail,,Suspension component excessively worn,Canvey Commercial Testing,2023-06-15T08:08:00,Demo Admin
AMB174,2023-06-17,Pass,2024-06-16,Minor windscreen damage outside driver's view,Southend Vehicle Test Centre,2023-06-17T17:56:00,Demo Admin
AMB196,2023-06-19,Pass,2024-06-18,,Canvey Commercial Testing,2023-06-19T11:51:00,Demo Admin
AMB138,2023-06-20,Pass,2024-06-19,Nearside front tyre worn close to legal limit,Essex Commercial MOT Centre,2023-06-20T09:39:00,Demo Admin
AMB253,2023-06-20,Pass,2024-06-19,Registration plate deteriorated but not likely to be misread,Canvey Commercial Testing,2023-06-20T13:27:00,Demo Admin
AMB119,2023-06-21,Pass,2024-06-20,,Southend Vehicle Test Centre,2023-06-21T09:08:00,Demo Admin
AMB175,2023-07-04,Pass,2024-07-03,"Oil leak, but not excessive",Canvey Commercial Testing,2023-07-04T14:18:00,Demo Admin
AMB252,2023-07-07,Pass,2024-07-06,Offside rear tyre worn close to legal limit,Essex Commercial MOT Centre,2023-07-07T17:09:00,Demo Admin
AMB105,2023-07-09,Pass,2024-07-08,Offside rear tyre worn close to legal limit,Essex Commercial MOT Centre,2023-07-09T08:19:00,Demo Admin
AMB183,2023-07-10,Pass,2024-07-09,Slight play in steering linkage,Essex Commercial MOT Centre,2023-07-10T16:11:00,Demo Admin
AMB106,2023-07-11,Pass,2024-07-10,"Oil leak, but not excessive",Essex Commercial MOT Centre,2023-07-11T13:00:00,Demo Admin
AMB133,2023-07-11,Pass,2024-07-10,Minor windscreen damage outside driver's view,Canvey Commercial Testing,2023-07-11T17:26:00,Demo Admin
AMB157,2023-07-13,Pass,2024-07-12,Nearside front tyre worn close to legal limit,Canvey Commercial Testing,2023-07-13T15:16:00,Demo Admin
AMB218,2023-07-15,Pass,2024-07-14,,Southend Vehicle Test Centre,2023-07-15T12:42:00,Demo Admin
AMB188,2023-07-16,Pass,2024-07-15,,Essex Commercial MOT Centre,2023-07-16T14:33:00,Demo Admin
AMB204,2023-07-17,Pass,2024-07-16,,Essex Commercial MOT Centre,2023-07-17T17:57:00,Demo Admin
AMB262,2023-07-17,Pass,2024-07-16,,Essex Commercial MOT Centre,2023-07-17T11:31:00,Demo Admin
AMB117,2023-07-19,Fail,,Tyre tread depth below legal minimum,Southend Vehicle Test Centre,2023-07-19T17:19:00,Demo Admin
AMB149,2023-07-19,Pass,2024-07-18,"Oil leak, but not excessive",Essex Commercial MOT Centre,2023-07-19T08:32:00,Demo Admin
AMB264,2023-07-20,Pass,2024-07-19,Registration plate deteriorated but not likely to be misread,Essex Commercial MOT Centre,2023-07-20T13:16:00,Demo Admin
AMB131,2023-07-21,Pass,2024-07-20,Slight play in steering linkage,Chelmsford Fleet Services,2023-07-21T08:58:00,Demo Admin
AMB280,2023-07-22,Pass,2024-07-21,Slight play in steering linkage,Southend Vehicle Test Centre,2023-07-22T15:30:00,Demo Admin
AMB248,2023-08-03,Pass,2024-08-02,,Chelmsford Fleet Services,2023-08-03T13:46:00,Demo Admin
AMB161,2023-08-04,Pass,2024-08-03,Offside rear tyre worn close to legal limit,Canvey Commercial Testing,2023-08-04T17:52:00,Demo Admin
AMB101,2023-08-05,Pass,2024-08-04,,Southend Vehicle Test Centre,2023-08-05T15:26:00,Demo Admin
AMB126,2023-08-05,Pass,2024-08-04,,Essex Commercial MOT Centre,2023-08-05T13:55:00,Demo Admin
AMB137,2023-08-08,Pass,2024-08-07,Minor windscreen damage outside driver's view,Essex Commercial MOT Centre,2023-08-08T15:25:00,Demo Admin
AMB254,2023-08-10,Pass,2024-08-09,,Chelmsford Fleet Services,2023-08-10T15:27:00,Demo Admin
AMB130,2023-08-12,Pass,2024-08-11,Nearside front tyre worn close to legal limit,Southend Vehicle Test Centre,2023-08-12T12:13:00,Demo Admin
AMB159,2023-08-12,Pass,2024-08-11,Slight play in steering linkage,Canvey Commercial Testing,2023-08-12T15:03:00,Demo Admin
AMB164,2023-08-12,Pass,2024-08-11,,Chelmsford Fleet Services,2023-08-12T11:48:00,Demo Admin
AMB215,2023-08-14,Pass,2024-08-13,,Canvey Commercial Testing,2023-08-14T08:30:00,Demo Admin
AMB182,2023-08-15,Pass,2024-08-14,,Chelmsford Fleet Services,2023-08-15T09:35:00,Demo Admin
AMB210,2023-08-15,Pass,2024-08-14,Minor windscreen damage outside driver's view,Southend Vehicle Test Centre,2023-08-15T16:47:00,Demo Admin
AMB226,2023-08-19,Pass,2024-08-18,,Southend Vehicle Test Centre,2023-08-19T12:23:00,Demo Admin
AMB258,2023-08-19,Pass,2024-08-18,Brake disc worn but not seriously weakened,Southend Vehicle Test Centre,2023-08-19T17:52:00,Demo Admin
AMB214,2023-08-20,Pass,2024-08-19,Minor windscreen damage outside driver's view,Canvey Commercial Testing,2023-08-20T17:38:00,Demo Admin
AMB127,2023-08-24,Pass,2024-08-23,"Oil leak, but not excessive",Chelmsford Fleet Services,2023-08-24T09:14:00,Demo Admin
AMB128,2023-09-05,Pass,2024-09-04,Nearside front tyre worn close to legal limit,Chelmsford Fleet Services,2023-09-05T15:07:00,Demo Admin
AMB201,2023-09-06,Pass,2024-09-05,,Essex Commercial MOT Centre,2023-09-06T13:46:00,Demo Admin
AMB168,2023-09-07,Pass,2024-09-06,Nearside front tyre worn close to legal limit,Canvey Commercial Testing,2023-09-07T12:30:00,Demo Admin
AMB178,2023-09-08,Pass,2024-09-07,Registration plate deteriorated but not likely to be misread,Essex Commercial MOT Centre,2023-09-08T11:00:00,Demo Admin
AMB296,2023-09-08,Pass,2024-09-07,Offside rear tyre worn close to legal limit,Southend Vehicle Test Centre,2023-09-08T17:04:00,Demo Admin
AMB179,2023-09-10,Pass,2024-09-09,,Canvey Commercial Testing,2023-09-10T10:25:00,Demo Admin
AMB282,2023-09-10,Pass,2024-09-09,,Southend Vehicle Test Centre,2023-09-10T16:54:00,Demo Admin
AMB116,2023-09-11,Pass,2024-09-10,,Southend Vehicle Test Centre,2023-09-11T15:02:00,Demo Admin
AMB199,2023-09-12,Pass,2024-09-11,,Canvey Commercial Testing,2023-09-12T14:45:00,Demo Admin
AMB200,2023-09-13,Pass,2024-09-12,,Canvey Commercial Testing,2023-09-13T14:10:00,Demo Admin
AMB242,2023-09-13,Fail,,Service brake performance below requirements,Canvey Commercial Testing,2023-09-13T14:17:00,Demo Admin
AMB216,2023-09-16,Pass,2024-09-15,Offside rear tyre worn close to legal limit,Chelmsford Fleet Services,2023-09-16T10:53:00,Demo Admin
AMB146,2023-09-18,Pass,2024-09-17,Nearside front tyre worn close to legal limit,Essex Commercial MOT Centre,2023-09-18T08:22:00,Demo Admin
AMB300,2023-09-19,Pass,2024-09-18,,Essex Commercial MOT Centre,2023-09-19T10:30:00,Demo Admin
AMB267,2023-09-20,Pass,2024-09-19,,Chelmsford Fleet Services,2023-09-20T14:33:00,Demo Admin
AMB223,2023-09-21,Pass,2024-09-20,,Chelmsford Fleet Services,2023-09-21T13:39:00,Demo Admin
AMB224,2023-10-05,Pass,2024-10-04,Nearside front tyre worn close to legal limit,Southend Vehicle Test Centre,2023-10-05T15:35:00,Demo Admin
AMB234,2023-10-06,Pass,2024-10-05,Offside rear tyre worn close to legal limit,Canvey Commercial Testing,2023-10-06T10:27:00,Demo Admin
AMB169,2023-10-08,Pass,2024-10-07,Slight play in steering linkage,Essex Commercial MOT Centre,2023-10-08T12:27:00,Demo Admin
AMB171,2023-10-09,Pass,2024-10-08,Minor windscreen damage outside driver's view,Southend Vehicle Test Centre,2023-10-09T12:28:00,Demo Admin
AMB102,2023-10-12,Pass,2024-10-11,Nearside front tyre worn close to legal limit,Canvey Commercial Testing,2023-10-12T08:22:00,Demo Admin
AMB122,2023-10-12,Pass,2024-10-11,Minor windscreen damage outside driver's view,Southend Vehicle Test Centre,2023-10-12T16:58:00,Demo Admin
AMB246,2023-10-12,Pass,2024-10-11,Brake disc worn but not seriously weakened,Essex Commercial MOT Centre,2023-10-12T17:03:00,Demo Admin
AMB144,2023-10-13,Pass,2024-10-12,,Chelmsford Fleet Services,2023-10-13T16:52:00,Demo Admin
AMB286,2023-10-14,Pass,2024-10-13,Minor windscreen damage outside driver's view,Southend Vehicle Test Centre,2023-10-14T08:31:00,Demo Admin
AMB244,2023-10-15,Pass,2024-10-14,Registration plate deteriorated but not likely to be misread,Essex Commercial MOT Centre,2023-10-15T10:27:00,Demo Admin
AMB249,2023-10-16,Pass,2024-10-15,Registration plate deteriorated but not likely to be misread,Chelmsford Fleet Services,2023-10-16T17:48:00,Demo Admin
AMB217,2023-10-17,Pass,2024-10-16,,Southend Vehicle Test Centre,2023-10-17T10:24:00,Demo Admin
AMB147,2023-10-19,Pass,2024-10-18,Offside rear tyre worn close to legal limit,Canvey Commercial Testing,2023-10-19T12:23:00,Demo Admin
AMB238,2023-10-20,Pass,2024-10-19,Minor windscreen damage outside driver's view,Canvey Commercial Testing,2023-10-20T13:12:00,Demo Admin
AMB152,2023-10-22,Pass,2024-10-21,Slight play in steering linkage,Chelmsford Fleet Services,2023-10-22T11:07:00,Demo Admin
AMB278,2023-10-22,Pass,2024-10-21,"Oil leak, but not excessive",Southend Vehicle Test Centre,2023-10-22T17:00:00,Demo Admin
AMB209,2023-11-03,Pass,2024-11-02,,Essex Commercial MOT Centre,2023-11-03T14:17:00,Demo Admin
AMB112,2023-11-07,Pass,2024-11-06,"Oil leak, but not excessive",Chelmsford Fleet Services,2023-11-07T13:19:00,Demo Admin
AMB212,2023-11-07,Pass,2024-11-06,Offside rear tyre worn close to legal limit,Chelmsford Fleet Services,2023-11-07T08:24:00,Demo Admin
AMB299,2023-11-09,Pass,2024-11-08,Brake disc worn but not seriously weakened,Southend Vehicle Test Centre,2023-11-09T15:02:00,Demo Admin
AMB121,2023-11-10,Pass,2024-11-09,Slight play in steering linkage,Southend Vehicle Test Centre,2023-11-10T13:16:00,Demo Admin
AMB160,2023-11-10,Pass,2024-11-09,Offside rear tyre worn close to legal limit,Essex Commercial MOT Centre,2023-11-10T08:14:00,Demo Admin
AMB275,2023-11-10,Pass,2024-11-09,Nearside front tyre worn close to legal limit,Southend Vehicle Test Centre,2023-11-10T08:09:00,Demo Admin
AMB156,2023-11-11,Pass,2024-11-10,Registration plate deteriorated but not likely to be misread,Canvey Commercial Testing,2023-11-11T17:38:00,Demo Admin
AMB270,2023-11-11,Pass,2024-11-10,Offside rear tyre worn close to legal limit,Southend Vehicle Test Centre,2023-11-11T10:04:00,Demo Admin
AMB134,2023-11-12,Pass,2024-11-11,Slight play in steering linkage,Southend Vehicle Test Centre,2023-11-12T12:22:00,Demo Admin
AMB136,2023-11-12,Pass,2024-11-11,,Chelmsford Fleet Services,2023-11-12T09:59:00,Demo Admin
AMB298,2023-11-12,Pass,2024-11-11,Nearside front tyre worn close to legal limit,Southend Vehicle Test Centre,2023-11-12T08:46:00,Demo Admin
AMB181,2023-11-13,Pass,2024-11-12,Registration plate deteriorated but not likely to be misread,Chelmsford Fleet Services,2023-11-13T15:31:00,Demo Admin
AMB202,2023-11-14,Pass,2024-11-13,Minor windscreen damage outside driver's view,Southend Vehicle Test Centre,2023-11-14T08:25:00,Demo Admin
AMB206,2023-11-14,Pass,2024-11-13,,Chelmsford Fleet Services,2023-11-14T09:42:00,Demo Admin
AMB208,2023-11-15,Pass,2024-11-14,Registration plate deteriorated but not likely to be misread,Essex Commercial MOT Centre,2023-11-15T10:58:00,Demo Admin
AMB235,2023-11-16,Pass,2024-11-15,Minor windscreen damage outside driver's view,Essex Commercial MOT Centre,2023-11-16T08:21:00,Demo Admin
AMB240,2023-11-17,Pass,2024-11-16,Minor windscreen damage outside driver's view,Chelmsford Fleet Services,2023-11-17T12:35:00,Demo Admin
AMB184,2023-11-18,Fail,,Suspension component excessively worn,Canvey Commercial Testing,2023-11-18T15:35:00,Demo Admin
AMB285,2023-11-18,Pass,2024-11-17,Offside rear tyre worn close to legal limit,Essex Commercial MOT Centre,2023-11-18T12:30:00,Demo Admin
AMB292,2023-11-21,Pass,2024-11-20,Offside rear tyre worn close to legal limit,Chelmsford Fleet Services,2023-11-21T12:56:00,Demo Admin
AMB263,2023-12-07,Pass,2024-12-06,Nearside front tyre worn close to legal limit,Essex Commercial MOT Centre,2023-12-07T11:05:00,Demo Admin
AMB120,2023-12-08,Pass,2024-12-07,Brake disc worn but not seriously weakened,Canvey Commercial Testing,2023-12-08T13:49:00,Demo Admin
AMB257,2023-12-10,Pass,2024-12-09,Brake disc worn but not seriously weakened,Canvey Commercial Testing,2023-12-10T13:21:00,Demo Admin
AMB281,2023-12-10,Pass,2024-12-09,"Oil leak, but not excessive",Canvey Commercial Testing,2023-12-10T12:36:00,Demo Admin
AMB155,2023-12-11,Fail,,Headlamp not working,Southend Vehicle Test Centre,2023-12-11T09:22:00,Demo Admin
AMB135,2023-12-12,Pass,2024-12-11,,Essex Commercial MOT Centre,2023-12-12T16:53:00,Demo Admin
AMB295,2023-12-12,Pass,2024-12-11,Nearside front tyre worn close to legal limit,Canvey Commercial Testing,2023-12-12T12:29:00,Demo Admin
AMB110,2023-12-13,Pass,2024-12-12,Slight play in steering linkage,Chelmsford Fleet Services,2023-12-13T08:56:00,Demo Admin
AMB111,2023-12-13,Pass,2024-12-12,Brake disc worn but not seriously weakened,Chelmsford Fleet Services,2023-12-13T13:16:00,Demo Admin
AMB277,2023-12-13,Pass,2024-12-12,Slight play in steering linkage,Essex Commercial MOT Centre,2023-12-13T12:12:00,Demo Admin
AMB185,2023-12-14,Pass,2024-12-13,Minor windscreen damage outside driver's view,Essex Commercial MOT Centre,2023-12-14T09:02:00,Demo Admin
AMB233,2023-12-17,Pass,2024-12-16,Nearside front tyre worn close to legal limit,Canvey Commercial Testing,2023-12-17T08:14:00,Demo Admin
AMB266,2023-12-18,Pass,2024-12-17,Registration plate deteriorated but not likely to be misread,Chelmsford Fleet Services,2023-12-18T14:50:00,Demo Admin
AMB190,2023-12-21,Pass,2024-12-20,Offside rear tyre worn close to legal limit,Canvey Commercial Testing,2023-12-21T09:07:00,Demo Admin
AMB260,2023-12-22,Pass,2024-12-21,Offside rear tyre worn close to legal limit,Canvey Commercial Testing,2023-12-22T14:30:00,Demo Admin
AMB194,2023-12-24,Pass,2024-12-23,Registration plate deteriorated but not likely to be misread,Canvey Commercial Testing,2023-12-24T10:07:00,Demo Admin
AMB177,2024-01-04,Pass,2025-01-03,Brake disc worn but not seriously weakened,Essex Commercial MOT Centre,2024-01-04T17:10:00,Demo Admin
AMB213,2024-01-08,Pass,2025-01-07,Brake disc worn but not seriously weakened,Chelmsford Fleet Services,2024-01-08T15:31:00,Demo Admin
AMB287,2024-01-10,Fail,,Tyre tread depth below legal minimum,Canvey Commercial Testing,2024-01-10T14:32:00,Demo Admin
AMB256,2024-01-12,Pass,2025-01-11,Minor windscreen damage outside driver's view,Essex Commercial MOT Centre,2024-01-12T11:06:00,Demo Admin
AMB104,2024-01-14,Pass,2025-01-13,,Essex Commercial MOT Centre,2024-01-14T17:49:00,Demo Admin
AMB163,2024-01-14,Pass,2025-01-13,,Chelmsford Fleet Services,2024-01-14T10:06:00,Demo Admin
AMB166,2024-01-15,Pass,2025-01-14,,Chelmsford Fleet Services,2024-01-15T12:08:00,Demo Admin
AMB198,2024-01-15,Pass,2025-01-14,Minor windscreen damage outside driver's view,Southend Vehicle Test Centre,2024-01-15T16:21:00,Demo Admin
AMB232,2024-01-15,Pass,2025-01-14,,Canvey Commercial Testing,2024-01-15T08:52:00,Demo Admin
AMB176,2024-01-16,Pass,2025-01-15,Offside rear tyre worn close to legal limit,Southend Vehicle Test Centre,2024-01-16T14:04:00,Demo Admin
AMB261,2024-01-16,Pass,2025-01-15,Brake disc worn but not seriously weakened,Canvey Commercial Testing,2024-01-16T17:33:00,Demo Admin
AMB145,2024-01-17,Pass,2025-01-16,,Southend Vehicle Test Centre,2024-01-17T11:47:00,Demo Admin
AMB143,2024-01-18,Pass,2025-01-17,,Chelmsford Fleet Services,2024-01-18T08:15:00,Demo Admin
AMB265,2024-01-19,Pass,2025-01-18,,Southend Vehicle Test Centre,2024-01-19T14:52:00,Demo Admin
AMB192,2024-01-21,Pass,2025-01-20,,Canvey Commercial Testing,2024-01-21T12:21:00,Demo Admin
