"Registration","TestDate","Result","ExpiryDate","Advisories","TestCentre","RecordedAt","RecordedBy"
"AMB145","2022-12-25","Pass","2024-01-03","Slight play in steering linkage","Chelmsford Fleet Services","2022-12-25T09:42:00","Demo Admin"
"AMB118","2022-12-25","Pass","2024-01-07","Minor windscreen damage outside driver's view","Essex Commercial MOT Centre","2022-12-25T16:11:00","Demo Admin"
"AMB135","2022-12-26","Pass","2024-01-08","Registration plate deteriorated but not likely to be misread","Chelmsford Fleet Services","2022-12-26T08:21:00","Demo Admin"
"AMB297","2022-12-29","Pass","2024-01-14","Slight play in steering linkage","Canvey Commercial Testing","2022-12-29T08:57:00","Demo Admin"
"AMB119","2022-12-30","Pass","2024-01-11","","Southend Vehicle Test Centre","2022-12-30T16:49:00","Demo Admin"
"AMB173","2023-01-01","Pass","2024-01-07","Oil leak, but not excessive","Canvey Commercial Testing","2023-01-01T10:01:00","Demo Admin"
"AMB263","2023-01-02","Pass","2024-01-03","Registration plate deteriorated but not likely to be misread","Canvey Commercial Testing","2023-01-02T11:18:00","Demo Admin"
"AMB284","2023-01-02","Pass","2024-01-16","","Canvey Commercial Testing","2023-01-02T13:38:00","Demo Admin"
"AMB158","2023-01-03","Pass","2024-01-07","Brake disc worn but not seriously weakened","Canvey Commercial Testing","2023-01-03T12:16:00","Demo Admin"
"AMB171","2023-01-04","Pass","2024-01-17","","Chelmsford Fleet Services","2023-01-04T16:07:00","Demo Admin"
"AMB147","2023-01-05","Pass","2024-01-07","","Chelmsford Fleet Services","2023-01-05T09:15:00","Demo Admin"
"AMB270","2023-01-06","Pass","2024-01-17","Registration plate deteriorated but not likely to be misread","Canvey Commercial Testing","2023-01-06T11:36:00","Demo Admin"
"AMB286","2023-01-08","Pass","2024-01-25","Slight play in steering linkage","Canvey Commercial Testing","2023-01-08T13:10:00","Demo Admin"
"AMB191","2023-01-11","Pass","2024-01-24","Offside rear tyre worn close to legal limit","Southend Vehicle Test Centre","2023-01-11T14:10:00","Demo Admin"
"AMB184","2023-01-16","Pass","2024-01-23","Brake disc worn but not seriously weakened","Chelmsford Fleet Services","2023-01-16T15:12:00","Demo Admin"
"AMB203","2023-01-20","Pass","2024-02-06","","Canvey Commercial Testing","2023-01-20T15:36:00","Demo Admin"
"AMB153","2023-01-26","Pass","2024-02-11","","Essex Commercial MOT Centre","2023-01-26T14:45:00","Demo Admin"
"AMB268","2023-01-29","Pass","2024-02-12","Offside rear tyre worn close to legal limit","Canvey Commercial Testing","2023-01-29T08:21:00","Demo Admin"
"AMB223","2023-02-01","Pass","2024-02-03","Oil leak, but not excessive","Canvey Commercial Testing","2023-02-01T14:10:00","Demo Admin"
"AMB167","2023-02-08","Pass","2024-02-21","","Chelmsford Fleet Services","2023-02-08T15:02:00","Demo Admin"
"AMB265","2023-02-10","Pass","2024-02-18","Nearside front tyre worn close to legal limit","Canvey Commercial Testing","2023-02-10T15:28:00","Demo Admin"
"AMB199","2023-02-11","Pass","2024-02-13","Nearside front tyre worn close to legal limit","Southend Vehicle Test Centre","2023-02-11T11:02:00","Demo Admin"
"AMB165","2023-02-11","Pass","2024-02-21","Registration plate deteriorated but not likely to be misread","Chelmsford Fleet Services","2023-02-11T13:52:00","Demo Admin"
"AMB300","2023-02-11","Pass","2024-02-22","Minor windscreen damage outside driver's view","Chelmsford Fleet Services","2023-02-11T14:34:00","Demo Admin"
"AMB232","2023-02-12","Pass","2024-02-21","","Chelmsford Fleet Services","2023-02-12T08:16:00","Demo Admin"
"AMB132","2023-02-12","Pass","2024-02-12","Offside rear tyre worn close to legal limit","Canvey Commercial Testing","2023-02-12T13:52:00","Demo Admin"
"AMB163","2023-02-18","Pass","2024-02-23","Slight play in steering linkage","Canvey Commercial Testing","2023-02-18T12:43:00","Demo Admin"
"AMB141","2023-02-20","Pass","2024-02-22","Nearside front tyre worn close to legal limit","Southend Vehicle Test Centre","2023-02-20T13:36:00","Demo Admin"
"AMB124","2023-02-20","Pass","2024-03-07","Oil leak, but not excessive","Chelmsford Fleet Services","2023-02-20T14:24:00","Demo Admin"
"AMB238","2023-02-21","Pass","2024-03-03","Brake disc worn but not seriously weakened","Essex Commercial MOT Centre","2023-02-21T08:29:00","Demo Admin"
"AMB218","2023-02-22","Pass","2024-03-05","Minor windscreen damage outside driver's view","Canvey Commercial Testing","2023-02-22T12:53:00","Demo Admin"
"AMB254","2023-02-24","Pass","2024-03-05","Offside rear tyre worn close to legal limit","Canvey Commercial Testing","2023-02-24T12:18:00","Demo Admin"
"AMB280","2023-02-24","Pass","2024-03-09","","Essex Commercial MOT Centre","2023-02-24T15:41:00","Demo Admin"
"AMB169","2023-02-27","Pass","2024-03-06","","Essex Commercial MOT Centre","2023-02-27T14:16:00","Demo Admin"
"AMB110","2023-02-28","Pass","2024-03-16","Minor windscreen damage outside driver's view","Canvey Commercial Testing","2023-02-28T10:30:00","Demo Admin"
"AMB137","2023-02-28","Pass","2024-03-07","","Chelmsford Fleet Services","2023-02-28T12:26:00","Demo Admin"
"AMB231","2023-03-02","Pass","2024-03-04","","Canvey Commercial Testing","2023-03-02T16:13:00","Demo Admin"
"AMB214","2023-03-03","Pass","2024-03-07","","Chelmsford Fleet Services","2023-03-03T09:42:00","Demo Admin"
"AMB211","2023-03-08","Pass","2024-03-23","Minor windscreen damage outside driver's view","Chelmsford Fleet Services","2023-03-08T11:46:00","Demo Admin"
"AMB287","2023-03-08","Pass","2024-03-15","Offside rear tyre worn close to legal limit","Canvey Commercial Testing","2023-03-08T15:39:00","Demo Admin"
"AMB179","2023-03-10","Pass","2024-03-14","","Canvey Commercial Testing","2023-03-10T09:41:00","Demo Admin"
"AMB133","2023-03-10","Pass","2024-03-20","Brake disc worn but not seriously weakened","Southend Vehicle Test Centre","2023-03-10T12:21:00","Demo Admin"
"AMB258","2023-03-18","Pass","2024-03-25","Minor windscreen damage outside driver's view","Canvey Commercial Testing","2023-03-18T11:09:00","Demo Admin"
"AMB227","2023-03-21","Pass","2024-04-06","Registration plate deteriorated but not likely to be misread","Chelmsford Fleet Services","2023-03-21T10:05:00","Demo Admin"
"AMB273","2023-03-24","Pass","2024-04-07","Registration plate deteriorated but not likely to be misread","Canvey Commercial Testing","2023-03-24T14:10:00","Demo Admin"
"AMB272","2023-03-25","Pass","2024-04-11","Brake disc worn but not seriously weakened","Canvey Commercial Testing","2023-03-25T09:19:00","Demo Admin"
"AMB216","2023-03-27","Pass","2024-04-13","Slight play in steering linkage","Southend Vehicle Test Centre","2023-03-27T12:12:00","Demo Admin"
"AMB250","2023-03-27","Pass","2024-04-06","Slight play in steering linkage","Essex Commercial MOT Centre","2023-03-27T14:36:00","Demo Admin"
"AMB127","2023-03-28","Pass","2024-04-09","Minor windscreen damage outside driver's view","Canvey Commercial Testing","2023-03-28T11:35:00","Demo Admin"
"AMB136","2023-04-01","Pass","2024-04-11","Registration plate deteriorated but not likely to be misread","Canvey Commercial Testing","2023-04-01T14:31:00","Demo Admin"
"AMB117","2023-04-02","Pass","2024-04-14","Oil leak, but not excessive","Chelmsford Fleet Services","2023-04-02T08:59:00","Demo Admin"
"AMB240","2023-04-06","Pass","2024-04-20","Brake disc worn but not seriously weakened","Essex Commercial MOT Centre","2023-04-06T14:20:00","Demo Admin"
"AMB182","2023-04-06","Pass","2024-04-07","Offside rear tyre worn close to legal limit","Chelmsford Fleet Services","2023-04-06T15:54:00","Demo Admin"
"AMB241","2023-04-07","Pass","2024-04-24","","Chelmsford Fleet Services","2023-04-07T10:44:00","Demo Admin"
"AMB230","2023-04-07","Pass","2024-04-15","Slight play in steering linkage","Chelmsford Fleet Services","2023-04-07T11:09:00","Demo Admin"
"AMB193","2023-04-10","Pass","2024-04-24","","Southend Vehicle Test Centre","2023-04-10T09:35:00","Demo Admin"
"AMB142","2023-04-11","Pass","2024-04-16","Slight play in steering linkage","Essex Commercial MOT Centre","2023-04-11T10:40:00","Demo Admin"
"AMB150","2023-04-20","Pass","2024-05-07","","Chelmsford Fleet Services","2023-04-20T09:21:00","Demo Admin"
"AMB154","2023-04-24","Pass","2024-05-07","","Canvey Commercial Testing","2023-04-24T08:50:00","Demo Admin"
"AMB245","2023-04-26","Pass","2024-05-03","","Canvey Commercial Testing","2023-04-26T14:57:00","Demo Admin"
"AMB188","2023-04-29","Pass","2024-05-12","Slight play in steering linkage","Southend Vehicle Test Centre","2023-04-29T11:08:00","Demo Admin"
"AMB170","2023-04-30","Pass","2024-05-17","Registration plate deteriorated but not likely to be misread","Canvey Commercial Testing","2023-04-30T08:46:00","Demo Admin"
"AMB289","2023-05-05","Pass","2024-05-14","Offside rear tyre worn close to legal limit","Chelmsford Fleet Services","2023-05-05T09:32:00","Demo Admin"
"AMB125","2023-05-07","Pass","2024-05-14","Nearside front tyre worn close to legal limit","Essex Commercial MOT Centre","2023-05-07T10:55:00","Demo Admin"
"AMB219","2023-05-09","Pass","2024-05-16","","Canvey Commercial Testing","2023-05-09T16:09:00","Demo Admin"
"AMB107","2023-05-09","Pass","2024-05-23","Oil leak, but not excessive","Chelmsford Fleet Services","2023-05-09T16:49:00","Demo Admin"
"AMB262","2023-05-11","Pass","2024-05-18","","Southend Vehicle Test Centre","2023-05-11T10:59:00","Demo Admin"
"AMB207","2023-05-11","Pass","2024-05-24","Brake disc worn but not seriously weakened","Essex Commercial MOT Centre","2023-05-11T13:46:00","Demo Admin"
"AMB282","2023-05-12","Pass","2024-05-24","Slight play in steering linkage","Chelmsford Fleet Services","2023-05-12T09:57:00","Demo Admin"
"AMB189","2023-05-16","Pass","2024-05-18","Brake disc worn but not seriously weakened","Canvey Commercial Testing","2023-05-16T10:49:00","Demo Admin"
"AMB105","2023-05-16","Pass","2024-05-25","","Chelmsford Fleet Services","2023-05-16T14:08:00","Demo Admin"
"AMB243","2023-05-24","Pass","2024-06-10","Brake disc worn but not seriously weakened","Southend Vehicle Test Centre","2023-05-24T13:17:00","Demo Admin"
"AMB149","2023-05-25","Pass","2024-06-04","","Chelmsford Fleet Services","2023-05-25T11:06:00","Demo Admin"
"AMB176","2023-05-28","Pass","2024-06-05","Registration plate deteriorated but not likely to be misread","Chelmsford Fleet Services","2023-05-28T08:19:00","Demo Admin"
"AMB281","2023-06-01","Pass","2024-06-03","Registration plate deteriorated but not likely to be misread","Canvey Commercial Testing","2023-06-01T10:40:00","Demo Admin"
"AMB101","2023-06-02","Pass","2024-06-16","Oil leak, but not excessive","Canvey Commercial Testing","2023-06-02T13:20:00","Demo Admin"
"AMB156","2023-06-03","Pass","2024-06-10","Minor windscreen damage outside driver's view","Canvey Commercial Testing","2023-06-03T09:26:00","Demo Admin"
"AMB294","2023-06-05","Pass","2024-06-21","Offside rear tyre worn close to legal limit","Canvey Commercial Testing","2023-06-05T16:32:00","Demo Admin"
"AMB190","2023-06-06","Pass","2024-06-11","Registration plate deteriorated but not likely to be misread","Canvey Commercial Testing","2023-06-06T09:43:00","Demo Admin"
"AMB288","2023-06-08","Pass","2024-06-18","Slight play in steering linkage","Canvey Commercial Testing","2023-06-08T11:04:00","Demo Admin"
"AMB175","2023-06-08","Pass","2024-06-17","Brake disc worn but not seriously weakened","Southend Vehicle Test Centre","2023-06-08T14:36:00","Demo Admin"
"AMB151","2023-06-09","Pass","2024-06-25","Nearside front tyre worn close to legal limit","Chelmsford Fleet Services","2023-06-09T10:25:00","Demo Admin"
"AMB276","2023-06-10","Pass","2024-06-20","Oil leak, but not excessive","Essex Commercial MOT Centre","2023-06-10T08:57:00","Demo Admin"
"AMB159","2023-06-12","Pass","2024-06-14","Oil leak, but not excessive","Canvey Commercial Testing","2023-06-12T10:05:00","Demo Admin"
"AMB112","2023-06-18","Pass","2024-06-18","Brake disc worn but not seriously weakened","Canvey Commercial Testing","2023-06-18T12:09:00","Demo Admin"
"AMB160","2023-06-18","Pass","2024-07-04","","Canvey Commercial Testing","2023-06-18T13:01:00","Demo Admin"
"AMB114","2023-06-23","Pass","2024-07-10","Nearside front tyre worn close to legal limit","Chelmsford Fleet Services","2023-06-23T13:15:00","Demo Admin"
"AMB264","2023-06-24","Pass","2024-07-10","Offside rear tyre worn close to legal limit","Canvey Commercial Testing","2023-06-24T10:01:00","Demo Admin"
"AMB172","2023-06-25","Pass","2024-07-08","Registration plate deteriorated but not likely to be misread","Chelmsford Fleet Services","2023-06-25T11:11:00","Demo Admin"
"AMB295","2023-06-25","Pass","2024-07-12","","Essex Commercial MOT Centre","2023-06-25T11:49:00","Demo Admin"
"AMB210","2023-06-25","Pass","2024-07-11","","Chelmsford Fleet Services","2023-06-25T14:22:00","Demo Admin"
"AMB239","2023-06-28","Pass","2024-07-14","","Chelmsford Fleet Services","2023-06-28T13:37:00","Demo Admin"
"AMB115","2023-06-29","Pass","2024-07-13","Oil leak, but not excessive","Essex Commercial MOT Centre","2023-06-29T14:22:00","Demo Admin"
"AMB164","2023-06-30","Pass","2024-07-14","Brake disc worn but not seriously weakened","Southend Vehicle Test Centre","2023-06-30T08:11:00","Demo Admin"
"AMB180","2023-07-02","Pass","2024-07-14","Brake disc worn but not seriously weakened","Essex Commercial MOT Centre","2023-07-02T09:24:00","Demo Admin"
"AMB102","2023-07-02","Pass","2024-07-07","Registration plate deteriorated but not likely to be misread","Canvey Commercial Testing","2023-07-02T09:48:00","Demo Admin"
"AMB187","2023-07-03","Pass","2024-07-08","Offside rear tyre worn close to legal limit","Southend Vehicle Test Centre","2023-07-03T09:19:00","Demo Admin"
"AMB181","2023-07-05","Pass","2024-07-08","Brake disc worn but not seriously weakened","Canvey Commercial Testing","2023-07-05T12:16:00","Demo Admin"
"AMB120","2023-07-06","Pass","2024-07-12","Slight play in steering linkage","Canvey Commercial Testing","2023-07-06T12:03:00","Demo Admin"
"AMB298","2023-07-06","Pass","2024-07-08","","Southend Vehicle Test Centre","2023-07-06T13:56:00","Demo Admin"
"AMB292","2023-07-09","Pass","2024-07-14","Oil leak, but not excessive","Canvey Commercial Testing","2023-07-09T13:40:00","Demo Admin"
"AMB198","2023-07-10","Pass","2024-07-21","","Canvey Commercial Testing","2023-07-10T09:20:00","Demo Admin"
"AMB267","2023-07-11","Pass","2024-07-21","","Southend Vehicle Test Centre","2023-07-11T11:09:00","Demo Admin"
"AMB130","2023-07-12","Pass","2024-07-15","","Essex Commercial MOT Centre","2023-07-12T16:16:00","Demo Admin"
"AMB206","2023-07-15","Pass","2024-07-23","Registration plate deteriorated but not likely to be misread","Southend Vehicle Test Centre","2023-07-15T16:09:00","Demo Admin"
"AMB205","2023-07-16","Pass","2024-07-22","Offside rear tyre worn close to legal limit","Essex Commercial MOT Centre","2023-07-16T08:17:00","Demo Admin"
"AMB138","2023-07-16","Pass","2024-07-21","Minor windscreen damage outside driver's view","Chelmsford Fleet Services","2023-07-16T10:54:00","Demo Admin"
"AMB144","2023-07-17","Pass","2024-07-21","","Southend Vehicle Test Centre","2023-07-17T15:43:00","Demo Admin"
"AMB106","2023-07-20","Pass","2024-07-21","Slight play in steering linkage","Essex Commercial MOT Centre","2023-07-20T09:35:00","Demo Admin"
"AMB157","2023-07-21","Pass","2024-07-28","","Southend Vehicle Test Centre","2023-07-21T11:52:00","Demo Admin"
"AMB196","2023-07-21","Pass","2024-07-28","Registration plate deteriorated but not likely to be misread","Chelmsford Fleet Services","2023-07-21T15:06:00","Demo Admin"
"AMB217","2023-07-23","Pass","2024-07-24","","Essex Commercial MOT Centre","2023-07-23T11:50:00","Demo Admin"
"AMB242","2023-07-23","Pass","2024-07-28","Brake disc worn but not seriously weakened","Essex Commercial MOT Centre","2023-07-23T12:23:00","Demo Admin"
"AMB285","2023-07-23","Pass","2024-08-09","Nearside front tyre worn close to legal limit","Chelmsford Fleet Services","2023-07-23T13:13:00","Demo Admin"
"AMB161","2023-07-24","Pass","2024-08-03","","Chelmsford Fleet Services","2023-07-24T08:42:00","Demo Admin"
"AMB278","2023-07-24","Pass","2024-08-08","Offside rear tyre worn close to legal limit","Essex Commercial MOT Centre","2023-07-24T11:36:00","Demo Admin"
"AMB247","2023-07-24","Pass","2024-08-09","Brake disc worn but not seriously weakened","Southend Vehicle Test Centre","2023-07-24T14:35:00","Demo Admin"
"AMB246","2023-07-25","Pass","2024-08-09","","Canvey Commercial Testing","2023-07-25T09:12:00","Demo Admin"
"AMB279","2023-07-26","Pass","2024-08-03","","Southend Vehicle Test Centre","2023-07-26T16:02:00","Demo Admin"
"AMB248","2023-07-27","Pass","2024-08-07","Nearside front tyre worn close to legal limit","Canvey Commercial Testing","2023-07-27T10:56:00","Demo Admin"
"AMB140","2023-07-27","Pass","2024-08-06","Offside rear tyre worn close to legal limit","Southend Vehicle Test Centre","2023-07-27T12:57:00","Demo Admin"
"AMB186","2023-07-29","Pass","2024-08-03","","Essex Commercial MOT Centre","2023-07-29T13:13:00","Demo Admin"
"AMB244","2023-08-01","Pass","2024-08-18","","Chelmsford Fleet Services","2023-08-01T16:07:00","Demo Admin"
"AMB197","2023-08-02","Pass","2024-08-18","Registration plate deteriorated but not likely to be misread","Canvey Commercial Testing","2023-08-02T10:51:00","Demo Admin"
"AMB221","2023-08-04","Pass","2024-08-04","","Canvey Commercial Testing","2023-08-04T14:28:00","Demo Admin"
"AMB178","2023-08-07","Pass","2024-08-16","Minor windscreen damage outside driver's view","Chelmsford Fleet Services","2023-08-07T13:26:00","Demo Admin"
"AMB108","2023-08-15","Pass","2024-08-20","Oil leak, but not excessive","Canvey Commercial Testing","2023-08-15T11:47:00","Demo Admin"
"AMB220","2023-08-15","Pass","2024-08-19","","Chelmsford Fleet Services","2023-08-15T13:32:00","Demo Admin"
"AMB123","2023-08-17","Pass","2024-08-19","Slight play in steering linkage","Canvey Commercial Testing","2023-08-17T11:11:00","Demo Admin"
"AMB293","2023-08-22","Pass","2024-09-05","","Essex Commercial MOT Centre","2023-08-22T13:01:00","Demo Admin"
"AMB111","2023-08-25","Pass","2024-08-25","Slight play in steering linkage","Chelmsford Fleet Services","2023-08-25T13:02:00","Demo Admin"
"AMB162","2023-08-26","Pass","2024-09-03","Minor windscreen damage outside driver's view","Southend Vehicle Test Centre","2023-08-26T09:30:00","Demo Admin"
"AMB202","2023-08-27","Pass","2024-09-06","Registration plate deteriorated but not likely to be misread","Canvey Commercial Testing","2023-08-27T13:16:00","Demo Admin"
"AMB166","2023-08-29","Pass","2024-09-15","Registration plate deteriorated but not likely to be misread","Essex Commercial MOT Centre","2023-08-29T15:22:00","Demo Admin"
"AMB121","2023-08-29","Pass","2024-09-12","Brake disc worn but not seriously weakened","Essex Commercial MOT Centre","2023-08-29T15:34:00","Demo Admin"
"AMB252","2023-08-30","Pass","2024-09-09","Registration plate deteriorated but not likely to be misread","Southend Vehicle Test Centre","2023-08-30T13:11:00","Demo Admin"
"AMB236","2023-09-05","Pass","2024-09-21","Offside rear tyre worn close to legal limit","Essex Commercial MOT Centre","2023-09-05T15:38:00","Demo Admin"
"AMB261","2023-09-06","Pass","2024-09-13","Offside rear tyre worn close to legal limit","Chelmsford Fleet Services","2023-09-06T15:09:00","Demo Admin"
"AMB296","2023-09-09","Pass","2024-09-24","","Canvey Commercial Testing","2023-09-09T16:45:00","Demo Admin"
"AMB233","2023-09-10","Pass","2024-09-10","Nearside front tyre worn close to legal limit","Essex Commercial MOT Centre","2023-09-10T09:05:00","Demo Admin"
"AMB177","2023-09-16","Pass","2024-09-19","Offside rear tyre worn close to legal limit","Chelmsford Fleet Services","2023-09-16T08:22:00","Demo Admin"
"AMB260","2023-09-16","Pass","2024-09-25","Offside rear tyre worn close to legal limit","Canvey Commercial Testing","2023-09-16T11:00:00","Demo Admin"
"AMB129","2023-09-17","Pass","2024-09-25","Registration plate deteriorated but not likely to be misread","Chelmsford Fleet Services","2023-09-17T12:55:00","Demo Admin"
"AMB228","2023-09-24","Pass","2024-09-25","Nearside front tyre worn close to legal limit","Canvey Commercial Testing","2023-09-24T09:17:00","Demo Admin"
"AMB212","2023-09-25","Pass","2024-10-03","Nearside front tyre worn close to legal limit","Canvey Commercial Testing","2023-09-25T12:16:00","Demo Admin"
"AMB255","2023-09-30","Pass","2024-10-07","","Chelmsford Fleet Services","2023-09-30T09:34:00","Demo Admin"
"AMB194","2023-10-02","Pass","2024-10-09","Registration plate deteriorated but not likely to be misread","Essex Commercial MOT Centre","2023-10-02T10:13:00","Demo Admin"
"AMB213","2023-10-03","Pass","2024-10-15","Brake disc worn but not seriously weakened","Chelmsford Fleet Services","2023-10-03T12:51:00","Demo Admin"
"AMB126","2023-10-04","Pass","2024-10-16","Registration plate deteriorated but not likely to be misread","Canvey Commercial Testing","2023-10-04T08:35:00","Demo Admin"
"AMB200","2023-10-04","Pass","2024-10-06","","Chelmsford Fleet Services","2023-10-04T14:06:00","Demo Admin"
"AMB235","2023-10-04","Pass","2024-10-08","Offside rear tyre worn close to legal limit","Southend Vehicle Test Centre","2023-10-04T16:37:00","Demo Admin"
"AMB225","2023-10-10","Pass","2024-10-17","Slight play in steering linkage","Chelmsford Fleet Services","2023-10-10T10:21:00","Demo Admin"
"AMB269","2023-10-11","Pass","2024-10-11","","Canvey Commercial Testing","2023-10-11T13:28:00","Demo Admin"
"AMB183","2023-10-12","Pass","2024-10-16","Registration plate deteriorated but not likely to be misread","Chelmsford Fleet Services","2023-10-12T13:00:00","Demo Admin"
"AMB229","2023-10-12","Pass","2024-10-24","Minor windscreen damage outside driver's view","Canvey Commercial Testing","2023-10-12T14:08:00","Demo Admin"
"AMB122","2023-10-16","Pass","2024-10-20","Nearside front tyre worn close to legal limit","Canvey Commercial Testing","2023-10-16T12:43:00","Demo Admin"
"AMB103","2023-10-17","Pass","2024-10-24","","Canvey Commercial Testing","2023-10-17T08:15:00","Demo Admin"
"AMB290","2023-10-21","Pass","2024-11-03","","Chelmsford Fleet Services","2023-10-21T10:22:00","Demo Admin"
"AMB143","2023-10-22","Pass","2024-10-23","Registration plate deteriorated but not likely to be misread","Southend Vehicle Test Centre","2023-10-22T08:39:00","Demo Admin"
"AMB283","2023-10-24","Pass","2024-11-07","Nearside front tyre worn close to legal limit","Essex Commercial MOT Centre","2023-10-24T08:26:00","Demo Admin"
"AMB134","2023-10-27","Pass","2024-11-05","","Canvey Commercial Testing","2023-10-27T09:01:00","Demo Admin"
"AMB185","2023-10-27","Pass","2024-11-11","Offside rear tyre worn close to legal limit","Canvey Commercial Testing","2023-10-27T11:38:00","Demo Admin"
"AMB299","2023-10-27","Pass","2024-11-09","Offside rear tyre worn close to legal limit","Southend Vehicle Test Centre","2023-10-27T16:28:00","Demo Admin"
"AMB215","2023-10-30","Pass","2024-11-11","","Chelmsford Fleet Services","2023-10-30T11:28:00","Demo Admin"
"AMB224","2023-10-30","Pass","2024-11-09","Nearside front tyre worn close to legal limit","Essex Commercial MOT Centre","2023-10-30T12:32:00","Demo Admin"
"AMB116","2023-10-31","Pass","2024-11-12","Offside rear tyre worn close to legal limit","Chelmsford Fleet Services","2023-10-31T11:10:00","Demo Admin"
"AMB113","2023-11-02","Pass","2024-11-03","Slight play in steering linkage","Canvey Commercial Testing","2023-11-02T13:01:00","Demo Admin"
"AMB201","2023-11-03","Pass","2024-11-19","Oil leak, but not excessive","Canvey Commercial Testing","2023-11-03T10:07:00","Demo Admin"
"AMB128","2023-11-04","Pass","2024-11-17","","Southend Vehicle Test Centre","2023-11-04T15:51:00","Demo Admin"
"AMB237","2023-11-06","Pass","2024-11-10","","Canvey Commercial Testing","2023-11-06T08:08:00","Demo Admin"
"AMB155","2023-11-06","Pass","2024-11-08","Oil leak, but not excessive","Chelmsford Fleet Services","2023-11-06T12:44:00","Demo Admin"
"AMB192","2023-11-06","Pass","2024-11-13","","Canvey Commercial Testing","2023-11-06T15:19:00","Demo Admin"
"AMB104","2023-11-07","Pass","2024-11-08","","Essex Commercial MOT Centre","2023-11-07T09:04:00","Demo Admin"
"AMB209","2023-11-07","Pass","2024-11-13","Brake disc worn but not seriously weakened","Essex Commercial MOT Centre","2023-11-07T11:05:00","Demo Admin"
"AMB174","2023-11-10","Pass","2024-11-16","Slight play in steering linkage","Canvey Commercial Testing","2023-11-10T11:11:00","Demo Admin"
"AMB148","2023-11-10","Pass","2024-11-20","Offside rear tyre worn close to legal limit","Canvey Commercial Testing","2023-11-10T13:02:00","Demo Admin"
"AMB234","2023-11-11","Pass","2024-11-17","Oil leak, but not excessive","Southend Vehicle Test Centre","2023-11-11T12:24:00","Demo Admin"
"AMB291","2023-11-13","Pass","2024-11-18","Brake disc worn but not seriously weakened","Essex Commercial MOT Centre","2023-11-13T13:10:00","Demo Admin"
"AMB271","2023-11-13","Pass","2024-11-19","","Chelmsford Fleet Services","2023-11-13T14:41:00","Demo Admin"
"AMB152","2023-11-14","Pass","2024-11-21","","Essex Commercial MOT Centre","2023-11-14T10:42:00","Demo Admin"
"AMB222","2023-11-16","Pass","2024-11-17","Registration plate deteriorated but not likely to be misread","Canvey Commercial Testing","2023-11-16T11:25:00","Demo Admin"
"AMB257","2023-11-16","Pass","2024-11-25","Brake disc worn but not seriously weakened","Southend Vehicle Test Centre","2023-11-16T16:47:00","Demo Admin"
"AMB131","2023-11-17","Pass","2024-12-03","Slight play in steering linkage","Essex Commercial MOT Centre","2023-11-17T13:14:00","Demo Admin"
"AMB275","2023-11-17","Pass","2024-11-24","Slight play in steering linkage","Essex Commercial MOT Centre","2023-11-17T13:37:00","Demo Admin"
"AMB226","2023-11-18","Pass","2024-12-05","Oil leak, but not excessive","Canvey Commercial Testing","2023-11-18T09:32:00","Demo Admin"
"AMB204","2023-11-18","Pass","2024-11-25","","Southend Vehicle Test Centre","2023-11-18T12:49:00","Demo Admin"
"AMB168","2023-11-18","Pass","2024-11-21","Oil leak, but not excessive","Canvey Commercial Testing","2023-11-18T16:33:00","Demo Admin"
"AMB146","2023-11-19","Pass","2024-12-06","Slight play in steering linkage","Essex Commercial MOT Centre","2023-11-19T13:46:00","Demo Admin"
"AMB259","2023-11-19","Pass","2024-11-25","Minor windscreen damage outside driver's view","Essex Commercial MOT Centre","2023-11-19T15:41:00","Demo Admin"
"AMB274","2023-11-19","Pass","2024-11-21","Oil leak, but not excessive","Canvey Commercial Testing","2023-11-19T16:49:00","Demo Admin"
"AMB249","2023-11-29","Pass","2024-12-14","Registration plate deteriorated but not likely to be misread","Canvey Commercial Testing","2023-11-29T13:19:00","Demo Admin"
"AMB109","2023-12-01","Pass","2024-12-11","Slight play in steering linkage","Canvey Commercial Testing","2023-12-01T16:36:00","Demo Admin"
"AMB266","2023-12-04","Pass","2024-12-05","","Essex Commercial MOT Centre","2023-12-04T10:40:00","Demo Admin"
"AMB256","2023-12-05","Pass","2024-12-05","Minor windscreen damage outside driver's view","Canvey Commercial Testing","2023-12-05T15:33:00","Demo Admin"
"AMB208","2023-12-07","Pass","2024-12-15","Brake disc worn but not seriously weakened","Chelmsford Fleet Services","2023-12-07T10:11:00","Demo Admin"
"AMB139","2023-12-09","Pass","2024-12-22","Registration plate deteriorated but not likely to be misread","Canvey Commercial Testing","2023-12-09T08:12:00","Demo Admin"
"AMB277","2023-12-09","Pass","2024-12-22","","Southend Vehicle Test Centre","2023-12-09T16:23:00","Demo Admin"
"AMB195","2023-12-09","Pass","2024-12-18","Offside rear tyre worn close to legal limit","Southend Vehicle Test Centre","2023-12-09T16:52:00","Demo Admin"
"AMB253","2023-12-11","Pass","2024-12-21","Minor windscreen damage outside driver's view","Canvey Commercial Testing","2023-12-11T12:57:00","Demo Admin"
"AMB251","2023-12-19","Pass","2024-12-24","Nearside front tyre worn close to legal limit","Chelmsford Fleet Services","2023-12-19T08:31:00","Demo Admin"
"AMB173","2023-12-21","Pass","2025-01-07","Oil leak, but not excessive","Canvey Commercial Testing","2023-12-21T15:22:00","Demo Admin"
